# # x_m,y_m,w_tr_right_m,w_tr_left_m
-4.044684487418103574e-02,-3.062782030973492525e-02,4.699999999999999734e-01,4.699999999999999734e-01
1.493497492662467507e-01,1.582689898693425204e-02,4.699999999999999734e-01,4.699999999999999734e-01
3.420501500367905123e-01,2.991668523675751826e-02,4.699999999999999734e-01,4.699999999999999734e-01
5.361161170761797878e-01,2.661288409188660234e-02,4.699999999999999734e-01,4.699999999999999734e-01
7.300094100231441230e-01,2.088684120447325751e-02,4.699999999999999734e-01,4.699999999999999734e-01
9.221925655385135867e-01,2.770565678169920748e-02,4.699999999999999734e-01,4.699999999999999734e-01
1.111785218883954540e+00,5.844621660991412143e-02,4.699999999999999734e-01,4.699999999999999734e-01
1.299743881981684668e+00,1.143661291441689654e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.483196326210469929e+00,1.954320971499837467e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.649541871157162110e+00,3.027346950297076233e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.784788635490148989e+00,4.375252145625998512e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.877010308258883153e+00,6.002070283923089944e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.929581875395699031e+00,7.849023083156966285e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.952750302068399169e+00,9.829122703555267515e-01,4.699999999999999734e-01,4.699999999999999734e-01
1.956795267281252970e+00,1.185524701465192177e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.951193502988041173e+00,1.384930213759506534e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.939758163640545208e+00,1.579687485926726476e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.923866159737000370e+00,1.771094483559867205e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.904884937584394367e+00,1.960459813688372410e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.884182011482488761e+00,2.149090214834414425e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.863134632847177841e+00,2.338024840144888206e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.843139836064961790e+00,2.527759187587737433e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.825597055087194498e+00,2.718722812766281027e+00,4.699999999999999734e-01,4.699999999999999734e-01
1.811905723865230744e+00,2.911345271283836578e+00,4.699999999999999734e-01,4.699999999999999734e-01
